ID,site,age,richness,temp,rugosity,latitude,salinity,s_diversity
2021_CAN-BCQ_30d_01,CAN-BCQ,30d,9,19.25,0.995118756,50.1,33,0
2021_CAN-BCQ_30d_02,CAN-BCQ,30d,4,19.25,0.997507954,50.1,33,0
2021_CAN-BCQ_30d_03,CAN-BCQ,30d,9,19.25,0.951295303,50.1,33,0.8953
2021_CAN-BCQ_30d_04,CAN-BCQ,30d,5,19.25,0.991117007,50.1,33,0.8305
2021_CAN-BCQ_30d_05,CAN-BCQ,30d,8,19.25,0.996327219,50.1,33,0
2021_CAN-BCQ_30d_06,CAN-BCQ,30d,9,19.25,0.991168076,50.1,33,0.5004
2021_CAN-BCQ_60d_07,CAN-BCQ,60d,13,16.44,0.99248282,50.1,33,0.7963
2021_CAN-BCQ_60d_08,CAN-BCQ,60d,13,16.44,0.987657248,50.1,33,0.8398
2021_CAN-BCQ_60d_09,CAN-BCQ,60d,15,16.44,0.966633162,50.1,33,0.7337
2021_CAN-BCQ_60d_10,CAN-BCQ,60d,10,16.44,0.96736835,50.1,33,1.384
2021_CAN-BCQ_60d_11,CAN-BCQ,60d,12,16.44,0.959058513,50.1,33,1.259
2021_CAN-BCQ_60d_12,CAN-BCQ,60d,7,16.44,0.996093809,50.1,33,0.5623
2021_CAN-BCQ_90d_13,CAN-BCQ,90d,9,15.04,0.971857507,50.1,33,0.5336
2021_CAN-BCQ_90d_14,CAN-BCQ,90d,6,15.04,0.956090486,50.1,33,0.056
2021_CAN-BCQ_90d_15,CAN-BCQ,90d,13,15.04,0.965141362,50.1,33,0.3425
2021_CAN-BCQ_90d_16,CAN-BCQ,90d,10,15.04,0.925254915,50.1,33,0.6847
2021_CAN-BCQ_90d_17,CAN-BCQ,90d,12,15.04,0.964987211,50.1,33,0.6705
2021_CAN-BCQ_90d_18,CAN-BCQ,90d,11,15.04,0.93784912,50.1,33,0.9565
2021_PAN-BDT_30d_01,PAN-BDT,30d,15,28.67,0.997609049,9.35,32.5,1.757
2021_PAN-BDT_30d_02,PAN-BDT,30d,16,28.67,0.996739036,9.35,32.5,1.655
2021_PAN-BDT_30d_03,PAN-BDT,30d,12,28.67,0.997095897,9.35,32.5,1.812
2021_PAN-BDT_30d_04,PAN-BDT,30d,16,28.67,0.993775231,9.35,32.5,1.821
2021_PAN-BDT_30d_05,PAN-BDT,30d,16,28.67,0.995778911,9.35,32.5,0.8591
2021_PAN-BDT_30d_06,PAN-BDT,30d,16,28.67,0.996742244,9.35,32.5,1.554
2021_PAN-BDT_60d_07,PAN-BDT,60d,16,28.67,0.984365695,9.35,31.3,1.84
