site,age,lat,total_richness,temp,salinity,richness,shannon,mfrichness,rug2,total_cover,ar_bryo,logrug
ALD,30,30.25,5,28.71,10.7,2.6666666666666665,0.39270456666666664,2.5,0.008260624833333322,82.5,0,-4.7962550486282405
ALD,60,30.25,5,30.8,16.3,2.5,0.32179936666666664,3.5,0.013162722666666663,94.33333333333333,0,-4.330366484919324
ALD,90,30.25,5,28.53,10.2,2.3333333333333335,0.40884208333333333,3,0.011171765,72.5,0,-4.494365665850121
BCQ,30,50.1,16,19.25,33,4.333333333333333,0.8195981833333333,3,0.012910947499999992,10.166666666666666,0,-4.349679684097878
BCQ,60,50.1,16,16.44,33,8.5,1.2129353666666667,4.166666666666667,0.021784349666666664,38.33333333333333,0,-3.8265634722032074
BCQ,90,50.1,16,15.04,33,7,0.8679170166666667,3.8333333333333335,0.04646989983333335,94.16666666666667,0.3333333333333333,-3.06895049140009
BDT,30,9.35,49,28.67,32.5,15.333333333333334,2.0660835,6.666666666666667,0.003709938666666653,50.666666666666664,0,-5.596739934395227
BDT,60,9.35,49,28.67,31.3,21.166666666666668,2.0725506666666664,8,0.03172198933333333,84.33333333333333,0,-3.45074516875537
BDT,90,9.35,49,29.54,32.6,17.25,2.18666925,8,0.13033550925,93.5,0,-2.0376433127914533
CBB,30,38.33,18,15.39,35,7.5,1.4964820666666667,4.333333333333333,0.006944503166666653,19.333333333333332,2.5,-4.969804843611755
CBB,60,38.33,18,16.31,35,8.333333333333334,1.33545215,4.666666666666667,NA,88.66666666666667,48,NA
CBB,90,38.33,18,16.31,35,7.666666666666667,1.0153118166666666,4,0.24266412533333334,100,66.16666666666667,-1.4160769920358707
HIK,30,21.43,26,22,34,9.6,1.35439326,7.8,0.0058959246000000135,58.4,1.8,-5.133493912507943
HIK,60,21.43,26,26.9,34,9.5,1.3658775166666666,7.5,0.04247819319999999,96.33333333333333,0,-3.158764435909691
HIK,90,21.43,26,26.99,33,10.666666666666666,1.2988264,7.833333333333333,0.035106084333333364,94.33333333333333,1.1666666666666667,-3.349380820702439
IRL,30,27.46,40,28.37,35.5,19.833333333333332,2.3405258333333334,6.666666666666667,0.06905283933333334,95.83333333333333,11.666666666666666,-2.6728832800108577
IRL,60,27.46,40,28.39,33.15,16.833333333333332,2.0778291666666666,6.166666666666667,0.21578510099999998,99.66666666666667,36.166666666666664,-1.5334722693200258
IRL,90,27.46,40,28.4,29.3,16,1.8134839999999999,6.166666666666667,0.244812838,97.83333333333333,35.166666666666664,-1.4072612869085845
LIS,30,40.88,13,25.05,26.3,4.166666666666667,0.9866158666666667,4.166666666666667,0.007889391666666653,66.33333333333333,1.1666666666666667,-4.842236248913499
LIS,60,40.88,13,25.52,27.2,5.5,1.0431454333333334,4.5,0.01298446625000002,82.16666666666667,0.16666666666666666,-4.344001539833556
LIS,90,40.88,13,22.65,26.8,6.166666666666667,1.5003651,5.666666666666667,0.04004314733333333,85,3.5000000000000004,-3.2177977228957024
MAD,30,32.74,27,22.79,35.54,9.166666666666666,1.5226175,4.666666666666667,0.006862366166666671,42.33333333333333,15.333333333333334,-4.981702974461732
MAD,60,32.74,27,22.79,35.78,13.833333333333334,1.70766,5.333333333333333,0.01800880279999999,65.5,10.833333333333334,-4.016894596184789
MAD,90,32.74,27,23.95,35.85,17,1.806157,6.333333333333333,0.028124100833333332,81.16666666666667,11,-3.5711283893389862
MDA,30,38.89,3,29.2,10,2,0.6142092333333333,2.1666666666666665,0.01541075850000001,92,0,-4.172689409576559
MDA,60,38.89,3,28.76,8.93,2,0.44422683333333335,2,0.013598349600000014,97.83333333333333,0,-4.29780684654517
MDA,90,38.89,3,27.74,7.49,2.1666666666666665,0.39612311666666666,2.1666666666666665,0.014465129666666668,98.16666666666667,0,-4.236014376427838
MWH,30,41.52,21,22.69,28,8.5,1.6965681666666668,5.333333333333333,0.17552367575,84.33333333333333,64,-1.7399813406166136
MWH,60,41.52,21,24.21,29,9.333333333333334,1.7862056666666668,5.666666666666667,0.32023579150000003,85.5,58,-1.138697706090392
MWH,90,41.52,21,22.39,29,12.166666666666666,2.141564166666667,8.166666666666666,0.20928930066666668,90.33333333333333,36.833333333333336,-1.564037770441867
