lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper,boot.ci.lower,boot.ci.upper,boot.se,interval
lm_middle,~,temp_mean,0.8059949857328899,0.08563456688087079,9.412028519442824,0,0.6381543188146966,0.9738356526510831,0.5518619120152501,0.9347720121523482,0.09775590502661839,0.19145505006854902
richness_30,~,temp_mean,0.44353935831830393,0.24940635808322106,1.7783803176754027,0.07534141305621733,-0.04528812104010943,0.9323668376767174,-0.17125566307278756,0.8126475017953972,0.25342933657664923,0.4919515824340924
richness_30,~,sal_mean,0.701436741540039,0.1822866512890117,3.847987422995256,1.1909216572969505e-4,0.34416147015116433,1.0587120129289136,0.2652253765583148,1.0561930614248476,0.19408298440299082,0.3954838424332664
logrug_90,~,lm_middle,-0.23905509837399794,0.2540944251577796,-0.9408120553040745,0.34680118191089093,-0.7370710203556541,0.25896082360765815,-0.5125815986669278,0.22856212234627124,0.182505155631559,0.3705718605065995
logrug_90,~,richness_30,0.5017078748576808,0.17312459001967348,2.8979584864326196,0.003756003023004828,0.1623899135808583,0.8410258361345032,0.11403379255917567,0.7898046069324441,0.16439831887184317,0.33788540718663423
logrug_90,~,log_ar_bryo_90,0.5661180998670702,0.18052690227848525,3.1359209775491657,0.0017131535782284324,0.21229187316065734,0.919944326573483,0.19559153620980776,0.8880037643017231,0.17270150675897195,0.3462061140459577
log_ar_bryo_90,~,temp_mean,-1.1145458842351623,0.2909267093093743,-3.8310194580654446,1.2761341182021546e-4,-1.6847517566222896,-0.5443400118480352,-1.722898040384142,-0.5710461357131175,0.2998419613312885,0.5759259523355122
log_ar_bryo_90,~,lm_middle,1.2677649539023803,0.40453771517706116,3.133860963612491,0.0017252258053674918,0.47488560176721817,2.0606443060375423,0.4231627570976453,2.010331348656277,0.3957172296150841,0.7935842957793159
log_ar_bryo_90,~,sal_mean,0.3763858309389261,0.2590970281347024,1.4526829336816869,0.14631180758068485,-0.13143501270645164,0.8842066745843038,-0.08598780711421491,0.7300225101290926,0.1957218890831034,0.40800515862165376
sal_mean,~~,sal_mean,1,0,NA,NA,1,1,NA,NA,NA,NA
temp_mean,~~,temp_mean,1,0,NA,NA,1,1,NA,NA,NA,NA
temp_mean,~~,sal_mean,-0.4147349926026537,0.14458719142153764,-2.8684075575789554,0.004125437348864391,-0.698120680414666,-0.13134930479064127,-0.6920578398500512,0.05108942272556506,0.17678708782801927,0.3715736312878081
lm_middle,~~,lm_middle,0.3503720829734385,0.13804206559886012,2.538154449177785,0.011143879195865125,0.07981460604815721,0.6209295598987199,0.12620128529528563,0.695448427104587,0.14430271638107664,0.2846235709046507
richness_30,~~,richness_30,0.5693197256543899,0.1986822607383677,2.8654783951954905,0.004163796840540801,0.1799096502401929,0.958729801068587,0.22110562579802484,0.8180205300378407,0.1561650721606773,0.29845745211990793
logrug_90,~~,logrug_90,0.3635017128916116,0.157854406057662,2.302765706513314,0.021292028999270185,0.05411276221763284,0.6728906635655904,0.07820430971679833,0.6149355704542436,0.14385349061108219,0.26836563036872263
log_ar_bryo_90,~~,log_ar_bryo_90,0.25765482773413295,0.11787938341531473,2.185749706768985,0.028833922104358978,0.026615481720327988,0.4886941737479379,0.06696009827599686,0.4817702757802752,0.1070023074767464,0.20740508875213917
