panel,site,age,age_num,total_cover,open_space
2021_CAN-BCQ_30d_01,CAN-BCQ,30d,30,3,97
2021_CAN-BCQ_30d_02,CAN-BCQ,30d,30,5,95
2021_CAN-BCQ_30d_03,CAN-BCQ,30d,30,18,82
2021_CAN-BCQ_30d_04,CAN-BCQ,30d,30,17,83
2021_CAN-BCQ_30d_05,CAN-BCQ,30d,30,6,94
2021_CAN-BCQ_30d_06,CAN-BCQ,30d,30,12,88
2021_CAN-BCQ_60d_07,CAN-BCQ,60d,60,7,93
2021_CAN-BCQ_60d_08,CAN-BCQ,60d,60,44,56.00000000000001
2021_CAN-BCQ_60d_09,CAN-BCQ,60d,60,38,62
2021_CAN-BCQ_60d_10,CAN-BCQ,60d,60,66,34
2021_CAN-BCQ_60d_11,CAN-BCQ,60d,60,66,34
2021_CAN-BCQ_60d_12,CAN-BCQ,60d,60,9,91
2021_CAN-BCQ_90d_13,CAN-BCQ,90d,90,88,12
2021_CAN-BCQ_90d_14,CAN-BCQ,90d,90,100,0
2021_CAN-BCQ_90d_15,CAN-BCQ,90d,90,97,3
2021_CAN-BCQ_90d_16,CAN-BCQ,90d,90,100,0
2021_CAN-BCQ_90d_17,CAN-BCQ,90d,90,87,13
2021_CAN-BCQ_90d_18,CAN-BCQ,90d,90,93,7.000000000000001
2021_PAN-BDT_30d_01,PAN-BDT,30d,30,52,48
2021_PAN-BDT_30d_02,PAN-BDT,30d,30,39,61
2021_PAN-BDT_30d_03,PAN-BDT,30d,30,44,56.00000000000001
2021_PAN-BDT_30d_04,PAN-BDT,30d,30,72,28.000000000000004
2021_PAN-BDT_30d_05,PAN-BDT,30d,30,57,43
2021_PAN-BDT_30d_06,PAN-BDT,30d,30,40,60
2021_PAN-BDT_60d_07,PAN-BDT,60d,60,81,19
2021_PAN-BDT_60d_08,PAN-BDT,60d,60,96,4
2021_PAN-BDT_60d_09,PAN-BDT,60d,60,76,24
2021_PAN-BDT_60d_10,PAN-BDT,60d,60,74,26
2021_PAN-BDT_60d_11,PAN-BDT,60d,60,82,18
2021_PAN-BDT_60d_12,PAN-BDT,60d,60,97,3
2021_PAN-BDT_90d_13,PAN-BDT,90d,90,99,1
2021_PAN-BDT_90d_14,PAN-BDT,90d,90,98,2
2021_PAN-BDT_90d_15,PAN-BDT,90d,90,100,0
2021_PAN-BDT_90d_16,PAN-BDT,90d,90,77,23
2021_POR-MAD_30d_01,POR-MAD,30d,30,26,74
2021_POR-MAD_30d_02,POR-MAD,30d,30,31,69
2021_POR-MAD_30d_03,POR-MAD,30d,30,44,56.00000000000001
